,var,coef
0,summit_elev,-3.4089688684109727
1,vertical_drop,1.4176177118138729
2,trams,-3.9968028886505635e-15
3,fastEight,2.220446049250313e-15
4,fastSixes,-8.881784197001252e-16
5,fastQuads,0.0603617787723737
6,quad,0.4181394448089068
7,triple,1.3271276406229677
8,double,0.6752875994451976
9,surface,-1.2297051989211125
10,total_chairs,0.42995298746143634
11,Runs,1.5637995501182396
12,TerrainParks,-0.025213000447572773
13,LongestRun_mi,-0.24363676957473224
14,SkiableTerrain_ac,-0.12146621020096479
15,Snow Making_ac,0.222380086133335
16,daysOpenLastYear,2.0637984912788663
17,yearsOpen,0.13179932836327798
18,averageSnowfall,-1.9165043969825752
19,AdultWeekday,10.986868803271156
20,projectedDaysOpen,-0.6263732276951441
21,NightSkiing_ac,0.8042833465888247
22,cluster,-2.933922032320371
23,r2,0.5559565165902216
24,mae,6.852990686240757
